row_index,sequence_id,record_id,window_start,fs_hz,rpeak_input_0,rpeak_input_1,rpeak_input_2,rpeak_target,rr_input_0_1,rr_input_1_2,rr_prev_to_target,rr_prev_to_target_sec,input_window_start,input_window_end,target_window_start,target_window_end,target_overlap_samples,target_overlap_fraction,input_target_overlap,input_contains_target_rpeak
68,102_00068,102,68,360.0,54174,54451,54733,55019,277,282,286,0.7944444444444444,54084,54823,54929,55109,0,0.0,False,False
69,102_00069,102,69,360.0,54451,54733,55019,55315,282,286,296,0.8222222222222222,54361,55109,55225,55405,0,0.0,False,False
70,102_00070,102,70,360.0,54733,55019,55315,55618,286,296,303,0.8416666666666667,54643,55405,55528,55708,0,0.0,False,False
71,102_00071,102,71,360.0,55019,55315,55618,55911,296,303,293,0.8138888888888889,54929,55708,55821,56001,0,0.0,False,False
72,102_00072,102,72,360.0,55315,55618,55911,56192,303,293,281,0.7805555555555556,55225,56001,56102,56282,0,0.0,False,False
73,102_00073,102,73,360.0,55618,55911,56192,56469,293,281,277,0.7694444444444445,55528,56282,56379,56559,0,0.0,False,False
74,102_00074,102,74,360.0,55911,56192,56469,56743,281,277,274,0.7611111111111111,55821,56559,56653,56833,0,0.0,False,False
75,102_00075,102,75,360.0,56192,56469,56743,57035,277,274,292,0.8111111111111111,56102,56833,56945,57125,0,0.0,False,False
76,102_00076,102,76,360.0,56469,56743,57035,57329,274,292,294,0.8166666666666667,56379,57125,57239,57419,0,0.0,False,False
77,102_00077,102,77,360.0,56743,57035,57329,57621,292,294,292,0.8111111111111111,56653,57419,57531,57711,0,0.0,False,False
78,102_00078,102,78,360.0,57035,57329,57621,57922,294,292,301,0.8361111111111111,56945,57711,57832,58012,0,0.0,False,False
79,102_00079,102,79,360.0,57329,57621,57922,58215,292,301,293,0.8138888888888889,57239,58012,58125,58305,0,0.0,False,False
80,102_00080,102,80,360.0,57621,57922,58215,58491,301,293,276,0.7666666666666667,57531,58305,58401,58581,0,0.0,False,False
81,102_00081,102,81,360.0,57922,58215,58491,58766,293,276,275,0.7638888888888888,57832,58581,58676,58856,0,0.0,False,False
82,102_00082,102,82,360.0,58215,58491,58766,59044,276,275,278,0.7722222222222223,58125,58856,58954,59134,0,0.0,False,False
83,102_00083,102,83,360.0,58491,58766,59044,59336,275,278,292,0.8111111111111111,58401,59134,59246,59426,0,0.0,False,False
84,102_00084,102,84,360.0,58766,59044,59336,59638,278,292,302,0.8388888888888889,58676,59426,59548,59728,0,0.0,False,False
85,102_00085,102,85,360.0,59044,59336,59638,59933,292,302,295,0.8194444444444444,58954,59728,59843,60023,0,0.0,False,False
86,102_00086,102,86,360.0,59336,59638,59933,60224,302,295,291,0.8083333333333333,59246,60023,60134,60314,0,0.0,False,False
87,102_00087,102,87,360.0,59638,59933,60224,60515,295,291,291,0.8083333333333333,59548,60314,60425,60605,0,0.0,False,False
88,102_00088,102,88,360.0,59933,60224,60515,60791,291,291,276,0.7666666666666667,59843,60605,60701,60881,0,0.0,False,False
89,102_00089,102,89,360.0,60224,60515,60791,61062,291,276,271,0.7527777777777778,60134,60881,60972,61152,0,0.0,False,False
90,102_00090,102,90,360.0,60515,60791,61062,61349,276,271,287,0.7972222222222223,60425,61152,61259,61439,0,0.0,False,False
91,102_00091,102,91,360.0,60791,61062,61349,61647,271,287,298,0.8277777777777777,60701,61439,61557,61737,0,0.0,False,False
92,102_00092,102,92,360.0,61062,61349,61647,61947,287,298,300,0.8333333333333334,60972,61737,61857,62037,0,0.0,False,False
93,102_00093,102,93,360.0,61349,61647,61947,62242,298,300,295,0.8194444444444444,61259,62037,62152,62332,0,0.0,False,False
94,102_00094,102,94,360.0,61647,61947,62242,62531,300,295,289,0.8027777777777778,61557,62332,62441,62621,0,0.0,False,False
95,102_00095,102,95,360.0,61947,62242,62531,610218,295,289,547687,1521.3527777777779,61857,62621,610128,610308,0,0.0,False,False
96,104_00000,104,0,360.0,27184,32445,32734,35359,5261,289,2625,7.291666666666667,27094,32824,35269,35449,0,0.0,False,False
97,104_00001,104,1,360.0,32445,32734,35359,37977,289,2625,2618,7.272222222222222,32355,35449,37887,38067,0,0.0,False,False
98,104_00002,104,2,360.0,32734,35359,37977,40302,2625,2618,2325,6.458333333333333,32644,38067,40212,40392,0,0.0,False,False
99,104_00003,104,3,360.0,35359,37977,40302,43244,2618,2325,2942,8.172222222222222,35269,40392,43154,43334,0,0.0,False,False
100,104_00004,104,4,360.0,37977,40302,43244,46456,2325,2942,3212,8.922222222222222,37887,43334,46366,46546,0,0.0,False,False
101,104_00005,104,5,360.0,40302,43244,46456,49934,2942,3212,3478,9.661111111111111,40212,46546,49844,50024,0,0.0,False,False
102,104_00006,104,6,360.0,43244,46456,49934,54295,3212,3478,4361,12.113888888888889,43154,50024,54205,54385,0,0.0,False,False
103,104_00007,104,7,360.0,46456,49934,54295,54584,3478,4361,289,0.8027777777777778,46366,54385,54494,54674,0,0.0,False,False
104,104_00008,104,8,360.0,49934,54295,54584,54879,4361,289,295,0.8194444444444444,49844,54674,54789,54969,0,0.0,False,False
105,104_00009,104,9,360.0,54295,54584,54879,58669,289,295,3790,10.527777777777779,54205,54969,58579,58759,0,0.0,False,False
106,104_00010,104,10,360.0,54584,54879,58669,58951,295,3790,282,0.7833333333333333,54494,58759,58861,59041,0,0.0,False,False
107,104_00011,104,11,360.0,54879,58669,58951,62126,3790,282,3175,8.819444444444445,54789,59041,62036,62216,0,0.0,False,False
108,104_00012,104,12,360.0,58669,58951,62126,65057,282,3175,2931,8.141666666666667,58579,62216,64967,65147,0,0.0,False,False
109,104_00013,104,13,360.0,58951,62126,65057,65335,3175,2931,278,0.7722222222222223,58861,65147,65245,65425,0,0.0,False,False
110,104_00014,104,14,360.0,62126,65057,65335,69704,2931,278,4369,12.136111111111111,62036,65425,69614,69794,0,0.0,False,False
111,104_00015,104,15,360.0,65057,65335,69704,69994,278,4369,290,0.8055555555555556,64967,69794,69904,70084,0,0.0,False,False
112,104_00016,104,16,360.0,65335,69704,69994,76428,4369,290,6434,17.872222222222224,65245,70084,76338,76518,0,0.0,False,False
113,104_00017,104,17,360.0,69704,69994,76428,76700,290,6434,272,0.7555555555555555,69614,76518,76610,76790,0,0.0,False,False
114,104_00018,104,18,360.0,69994,76428,76700,76968,6434,272,268,0.7444444444444445,69904,76790,76878,77058,0,0.0,False,False
115,104_00019,104,19,360.0,76428,76700,76968,77257,272,268,289,0.8027777777777778,76338,77058,77167,77347,0,0.0,False,False
116,104_00020,104,20,360.0,76700,76968,77257,77548,268,289,291,0.8083333333333333,76610,77347,77458,77638,0,0.0,False,False
117,104_00021,104,21,360.0,76968,77257,77548,77838,289,291,290,0.8055555555555556,76878,77638,77748,77928,0,0.0,False,False
118,104_00022,104,22,360.0,77257,77548,77838,78133,291,290,295,0.8194444444444444,77167,77928,78043,78223,0,0.0,False,False
119,104_00023,104,23,360.0,77548,77838,78133,78425,290,295,292,0.8111111111111111,77458,78223,78335,78515,0,0.0,False,False
120,104_00024,104,24,360.0,77838,78133,78425,78707,295,292,282,0.7833333333333333,77748,78515,78617,78797,0,0.0,False,False
121,104_00025,104,25,360.0,78133,78425,78707,78983,292,282,276,0.7666666666666667,78043,78797,78893,79073,0,0.0,False,False
122,104_00026,104,26,360.0,78425,78707,78983,79260,282,276,277,0.7694444444444445,78335,79073,79170,79350,0,0.0,False,False
123,104_00027,104,27,360.0,78707,78983,79260,79554,276,277,294,0.8166666666666667,78617,79350,79464,79644,0,0.0,False,False
124,104_00028,104,28,360.0,78983,79260,79554,79845,277,294,291,0.8083333333333333,78893,79644,79755,79935,0,0.0,False,False
125,104_00029,104,29,360.0,79260,79554,79845,80136,294,291,291,0.8083333333333333,79170,79935,80046,80226,0,0.0,False,False
126,104_00030,104,30,360.0,79554,79845,80136,80430,291,291,294,0.8166666666666667,79464,80226,80340,80520,0,0.0,False,False
127,104_00031,104,31,360.0,79845,80136,80430,80721,291,294,291,0.8083333333333333,79755,80520,80631,80811,0,0.0,False,False
128,104_00032,104,32,360.0,80136,80430,80721,80999,294,291,278,0.7722222222222223,80046,80811,80909,81089,0,0.0,False,False
129,104_00033,104,33,360.0,80430,80721,80999,81267,291,278,268,0.7444444444444445,80340,81089,81177,81357,0,0.0,False,False
130,104_00034,104,34,360.0,80721,80999,81267,81553,278,268,286,0.7944444444444444,80631,81357,81463,81643,0,0.0,False,False
131,104_00035,104,35,360.0,80999,81267,81553,81845,268,286,292,0.8111111111111111,80909,81643,81755,81935,0,0.0,False,False
132,104_00036,104,36,360.0,81267,81553,81845,82134,286,292,289,0.8027777777777778,81177,81935,82044,82224,0,0.0,False,False
133,104_00037,104,37,360.0,81553,81845,82134,92507,292,289,10373,28.81388888888889,81463,82224,92417,92597,0,0.0,False,False
134,104_00038,104,38,360.0,81845,82134,92507,100116,289,10373,7609,21.136111111111113,81755,92597,100026,100206,0,0.0,False,False
135,104_00039,104,39,360.0,82134,92507,100116,100349,10373,7609,233,0.6472222222222223,82044,100206,100259,100439,0,0.0,False,False
136,104_00040,104,40,360.0,92507,100116,100349,100624,7609,233,275,0.7638888888888888,92417,100439,100534,100714,0,0.0,False,False
137,104_00041,104,41,360.0,100116,100349,100624,100902,233,275,278,0.7722222222222223,100026,100714,100812,100992,0,0.0,False,False
138,104_00042,104,42,360.0,100349,100624,100902,101187,275,278,285,0.7916666666666666,100259,100992,101097,101277,0,0.0,False,False
139,104_00043,104,43,360.0,100624,100902,101187,101478,278,285,291,0.8083333333333333,100534,101277,101388,101568,0,0.0,False,False
140,104_00044,104,44,360.0,100902,101187,101478,101765,285,291,287,0.7972222222222223,100812,101568,101675,101855,0,0.0,False,False
141,104_00045,104,45,360.0,101187,101478,101765,102062,291,287,297,0.825,101097,101855,101972,102152,0,0.0,False,False
142,104_00046,104,46,360.0,101478,101765,102062,102348,287,297,286,0.7944444444444444,101388,102152,102258,102438,0,0.0,False,False
143,104_00047,104,47,360.0,101765,102062,102348,102616,297,286,268,0.7444444444444445,101675,102438,102526,102706,0,0.0,False,False
144,104_00048,104,48,360.0,102062,102348,102616,102893,286,268,277,0.7694444444444445,101972,102706,102803,102983,0,0.0,False,False
145,104_00049,104,49,360.0,102348,102616,102893,103176,268,277,283,0.7861111111111111,102258,102983,103086,103266,0,0.0,False,False
146,104_00050,104,50,360.0,102616,102893,103176,103463,277,283,287,0.7972222222222223,102526,103266,103373,103553,0,0.0,False,False
147,104_00051,104,51,360.0,102893,103176,103463,103751,283,287,288,0.8,102803,103553,103661,103841,0,0.0,False,False
148,104_00052,104,52,360.0,103176,103463,103751,104041,287,288,290,0.8055555555555556,103086,103841,103951,104131,0,0.0,False,False
149,104_00053,104,53,360.0,103463,103751,104041,104339,288,290,298,0.8277777777777777,103373,104131,104249,104429,0,0.0,False,False
150,104_00054,104,54,360.0,103751,104041,104339,104612,290,298,273,0.7583333333333333,103661,104429,104522,104702,0,0.0,False,False
151,104_00055,104,55,360.0,104041,104339,104612,104881,298,273,269,0.7472222222222222,103951,104702,104791,104971,0,0.0,False,False
152,104_00056,104,56,360.0,104339,104612,104881,105172,273,269,291,0.8083333333333333,104249,104971,105082,105262,0,0.0,False,False
153,104_00057,104,57,360.0,104612,104881,105172,105449,269,291,277,0.7694444444444445,104522,105262,105359,105539,0,0.0,False,False
154,104_00058,104,58,360.0,104881,105172,105449,105741,291,277,292,0.8111111111111111,104791,105539,105651,105831,0,0.0,False,False
155,104_00059,104,59,360.0,105172,105449,105741,106039,277,292,298,0.8277777777777777,105082,105831,105949,106129,0,0.0,False,False
156,104_00060,104,60,360.0,105449,105741,106039,106329,292,298,290,0.8055555555555556,105359,106129,106239,106419,0,0.0,False,False
157,104_00061,104,61,360.0,105741,106039,106329,107175,298,290,846,2.35,105651,106419,107085,107265,0,0.0,False,False
158,104_00062,104,62,360.0,106039,106329,107175,108057,290,846,882,2.45,105949,107265,107967,108147,0,0.0,False,False
159,104_00063,104,63,360.0,106329,107175,108057,129379,846,882,21322,59.227777777777774,106239,108147,129289,129469,0,0.0,False,False
160,104_00064,104,64,360.0,107175,108057,129379,129666,882,21322,287,0.7972222222222223,107085,129469,129576,129756,0,0.0,False,False
161,104_00065,104,65,360.0,108057,129379,129666,129950,21322,287,284,0.7888888888888889,107967,129756,129860,130040,0,0.0,False,False
162,104_00066,104,66,360.0,129379,129666,129950,130236,287,284,286,0.7944444444444444,129289,130040,130146,130326,0,0.0,False,False
163,104_00067,104,67,360.0,129666,129950,130236,130502,284,286,266,0.7388888888888889,129576,130326,130412,130592,0,0.0,False,False
164,104_00068,104,68,360.0,129950,130236,130502,130770,286,266,268,0.7444444444444445,129860,130592,130680,130860,0,0.0,False,False
165,104_00069,104,69,360.0,130236,130502,130770,131056,266,268,286,0.7944444444444444,130146,130860,130966,131146,0,0.0,False,False
166,104_00070,104,70,360.0,130502,130770,131056,131330,268,286,274,0.7611111111111111,130412,131146,131240,131420,0,0.0,False,False
167,104_00071,104,71,360.0,130770,131056,131330,131611,286,274,281,0.7805555555555556,130680,131420,131521,131701,0,0.0,False,False
168,104_00072,104,72,360.0,131056,131330,131611,131901,274,281,290,0.8055555555555556,130966,131701,131811,131991,0,0.0,False,False
169,104_00073,104,73,360.0,131330,131611,131901,132201,281,290,300,0.8333333333333334,131240,131991,132111,132291,0,0.0,False,False
170,104_00074,104,74,360.0,131611,131901,132201,132487,290,300,286,0.7944444444444444,131521,132291,132397,132577,0,0.0,False,False
171,104_00075,104,75,360.0,131901,132201,132487,132761,300,286,274,0.7611111111111111,131811,132577,132671,132851,0,0.0,False,False
172,104_00076,104,76,360.0,132201,132487,132761,133047,286,274,286,0.7944444444444444,132111,132851,132957,133137,0,0.0,False,False
173,104_00077,104,77,360.0,132487,132761,133047,133334,274,286,287,0.7972222222222223,132397,133137,133244,133424,0,0.0,False,False
174,104_00078,104,78,360.0,132761,133047,133334,133918,286,287,584,1.6222222222222222,132671,133424,133828,134008,0,0.0,False,False
175,104_00079,104,79,360.0,133047,133334,133918,134218,287,584,300,0.8333333333333334,132957,134008,134128,134308,0,0.0,False,False
176,104_00080,104,80,360.0,133334,133918,134218,151739,584,300,17521,48.669444444444444,133244,134308,151649,151829,0,0.0,False,False
177,104_00081,104,81,360.0,133918,134218,151739,151994,300,17521,255,0.7083333333333334,133828,151829,151904,152084,0,0.0,False,False
178,104_00082,104,82,360.0,134218,151739,151994,158700,17521,255,6706,18.627777777777776,134128,152084,158610,158790,0,0.0,False,False
179,104_00083,104,83,360.0,151739,151994,158700,158986,255,6706,286,0.7944444444444444,151649,158790,158896,159076,0,0.0,False,False
180,104_00084,104,84,360.0,151994,158700,158986,164223,6706,286,5237,14.547222222222222,151904,159076,164133,164313,0,0.0,False,False
181,104_00085,104,85,360.0,158700,158986,164223,170628,286,5237,6405,17.791666666666668,158610,164313,170538,170718,0,0.0,False,False
182,104_00086,104,86,360.0,158986,164223,170628,170911,5237,6405,283,0.7861111111111111,158896,170718,170821,171001,0,0.0,False,False
183,104_00087,104,87,360.0,164223,170628,170911,178185,6405,283,7274,20.205555555555556,164133,171001,178095,178275,0,0.0,False,False
184,104_00088,104,88,360.0,170628,170911,178185,178462,283,7274,277,0.7694444444444445,170538,178275,178372,178552,0,0.0,False,False
185,104_00089,104,89,360.0,170911,178185,178462,184006,7274,277,5544,15.4,170821,178552,183916,184096,0,0.0,False,False
186,104_00090,104,90,360.0,178185,178462,184006,184280,277,5544,274,0.7611111111111111,178095,184096,184190,184370,0,0.0,False,False
187,104_00091,104,91,360.0,178462,184006,184280,190077,5544,274,5797,16.102777777777778,178372,184370,189987,190167,0,0.0,False,False
188,104_00092,104,92,360.0,184006,184280,190077,195048,274,5797,4971,13.808333333333334,183916,190167,194958,195138,0,0.0,False,False
189,104_00093,104,93,360.0,184280,190077,195048,195345,5797,4971,297,0.825,184190,195138,195255,195435,0,0.0,False,False
190,104_00094,104,94,360.0,190077,195048,195345,199415,4971,297,4070,11.305555555555555,189987,195435,199325,199505,0,0.0,False,False
191,104_00095,104,95,360.0,195048,195345,199415,204078,297,4070,4663,12.952777777777778,194958,199505,203988,204168,0,0.0,False,False
192,104_00096,104,96,360.0,195345,199415,204078,204339,4070,4663,261,0.725,195255,204168,204249,204429,0,0.0,False,False
193,104_00097,104,97,360.0,199415,204078,204339,208997,4663,261,4658,12.938888888888888,199325,204429,208907,209087,0,0.0,False,False
194,104_00098,104,98,360.0,204078,204339,208997,209282,261,4658,285,0.7916666666666666,203988,209087,209192,209372,0,0.0,False,False
195,104_00099,104,99,360.0,204339,208997,209282,213664,4658,285,4382,12.172222222222222,204249,209372,213574,213754,0,0.0,False,False
196,104_00100,104,100,360.0,208997,209282,213664,213951,285,4382,287,0.7972222222222223,208907,213754,213861,214041,0,0.0,False,False
197,104_00101,104,101,360.0,209282,213664,213951,217442,4382,287,3491,9.697222222222223,209192,214041,217352,217532,0,0.0,False,False
198,104_00102,104,102,360.0,213664,213951,217442,217713,287,3491,271,0.7527777777777778,213574,217532,217623,217803,0,0.0,False,False
199,104_00103,104,103,360.0,213951,217442,217713,224744,3491,271,7031,19.530555555555555,213861,217803,224654,224834,0,0.0,False,False
200,104_00104,104,104,360.0,217442,217713,224744,228826,271,7031,4082,11.338888888888889,217352,224834,228736,228916,0,0.0,False,False
201,104_00105,104,105,360.0,217713,224744,228826,229117,7031,4082,291,0.8083333333333333,217623,228916,229027,229207,0,0.0,False,False
202,104_00106,104,106,360.0,224744,228826,229117,233197,4082,291,4080,11.333333333333334,224654,229207,233107,233287,0,0.0,False,False
203,104_00107,104,107,360.0,228826,229117,233197,233483,291,4080,286,0.7944444444444444,228736,233287,233393,233573,0,0.0,False,False
204,104_00108,104,108,360.0,229117,233197,233483,244295,4080,286,10812,30.033333333333335,229027,233573,244205,244385,0,0.0,False,False
205,104_00109,104,109,360.0,233197,233483,244295,247777,286,10812,3482,9.672222222222222,233107,244385,247687,247867,0,0.0,False,False
206,104_00110,104,110,360.0,233483,244295,247777,251570,10812,3482,3793,10.536111111111111,233393,247867,251480,251660,0,0.0,False,False
207,104_00111,104,111,360.0,244295,247777,251570,261484,3482,3793,9914,27.538888888888888,244205,251660,261394,261574,0,0.0,False,False
208,104_00112,104,112,360.0,247777,251570,261484,271107,3793,9914,9623,26.730555555555554,247687,261574,271017,271197,0,0.0,False,False
209,104_00113,104,113,360.0,251570,261484,271107,275200,9914,9623,4093,11.369444444444444,251480,271197,275110,275290,0,0.0,False,False
210,104_00114,104,114,360.0,261484,271107,275200,290119,9623,4093,14919,41.44166666666667,261394,275290,290029,290209,0,0.0,False,False
211,104_00115,104,115,360.0,271107,275200,290119,293292,4093,14919,3173,8.813888888888888,271017,290209,293202,293382,0,0.0,False,False
212,104_00116,104,116,360.0,275200,290119,293292,296521,14919,3173,3229,8.969444444444445,275110,293382,296431,296611,0,0.0,False,False
